,DateTime,ResolutionCode,AreaCode,AreaTypeCode,AreaName,MapCode,ProductionType,ActualGenerationOutput,ActualConsumption,UpdateTime
0,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,CTY,SI CTY,SI,Fossil Oil,0.0,,2018-01-18 10:48:29
1,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,CTY,SI CTY,SI,Nuclear,0.0,,2018-01-18 10:48:29
2,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,BZN,SI BZN,SI,Wind Onshore,0.0,,2018-01-18 10:48:29
3,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,CTY,SI CTY,SI,Biomass,0.0,,2018-01-18 10:48:29
4,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,BZN,SI BZN,SI,Biomass,0.0,,2018-01-18 10:48:29
5,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Nuclear,0.0,,2018-01-18 10:48:30
6,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Pumped Storage,0.0,,2018-01-18 10:48:30
7,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Waste,0.0,,2018-01-18 10:48:30
8,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Wind Onshore,0.0,,2018-01-18 10:48:30
9,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Fossil Oil,0.0,,2018-01-18 10:48:31
10,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Fossil Gas,0.0,,2018-01-18 10:48:31
11,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Fossil Hard coal,0.0,,2018-01-18 10:48:31
12,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Run-of-river and poundage,0.0,,2018-01-18 10:48:31
13,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Biomass,0.0,,2018-01-18 10:48:31
14,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Solar,0.0,,2018-05-09 15:16:46
15,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Water Reservoir,0.0,,2018-01-18 10:48:31
16,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Biomass,0.0,,2018-01-18 10:48:31
17,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Biomass,0.0,,2018-01-18 10:48:32
18,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Fossil Gas,0.0,,2018-01-18 10:48:32
