,DateTime,ResolutionCode,AreaCode,AreaTypeCode,AreaName,MapCode,ProductionType,ActualGenerationOutput,ActualConsumption,UpdateTime,FlowValue
0,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,CTY,SI CTY,SI,Fossil Oil,0.0,,2018-01-18 10:48:29,0.0
1,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,CTY,SI CTY,SI,Nuclear,696.83,,2018-01-18 10:48:29,0.0
2,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,BZN,SI BZN,SI,Wind Onshore,1.0,,2018-01-18 10:48:29,0.0
3,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,CTY,SI CTY,SI,Biomass,10.64,,2018-01-18 10:48:29,0.0
4,2018-01-18 08:00:00.000,PT60M,10YSI-ELES-----O,BZN,SI BZN,SI,Biomass,10.64,,2018-01-18 10:48:29,0.0
5,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Nuclear,57008.0,,2018-01-18 10:48:30,0.0
6,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Pumped Storage,1603.0,,2018-01-18 10:48:30,0.0
7,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Waste,245.0,,2018-01-18 10:48:30,0.0
8,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Wind Onshore,9577.0,,2018-01-18 10:48:30,0.0
9,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Fossil Oil,213.0,,2018-01-18 10:48:31,0.0
10,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Fossil Gas,3641.0,,2018-01-18 10:48:31,0.0
11,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Fossil Hard coal,443.0,,2018-01-18 10:48:31,0.0
12,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Run-of-river and poundage,6296.0,,2018-01-18 10:48:31,0.0
13,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Biomass,280.0,,2018-01-18 10:48:31,0.0
14,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Solar,0.0,,2018-05-09 15:16:46,0.0
15,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Water Reservoir,2699.0,,2018-01-18 10:48:31,0.0
16,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Biomass,280.0,,2018-01-18 10:48:31,0.0
17,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Biomass,280.0,,2018-01-18 10:48:32,0.0
18,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Fossil Gas,3641.0,,2018-01-18 10:48:32,0.0
19,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Fossil Hard coal,443.0,,2018-01-18 10:48:32,0.0
20,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Hydro Pumped Storage,1603.0,,2018-01-18 10:48:32,0.0
21,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Fossil Oil,213.0,,2018-01-18 10:48:32,0.0
22,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Fossil Hard coal,443.0,,2018-01-18 10:48:32,0.0
23,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Hydro Run-of-river and poundage,6296.0,,2018-01-18 10:48:33,0.0
24,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Hydro Water Reservoir,2699.0,,2018-01-18 10:48:33,0.0
25,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Waste,245.0,,2018-01-18 10:48:33,0.0
26,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Hydro Run-of-river and poundage,6296.0,,2018-01-18 10:48:33,0.0
27,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Wind Onshore,9577.0,,2018-01-18 10:48:33,0.0
28,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Fossil Oil,213.0,,2018-01-18 10:48:33,0.0
29,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Nuclear,57008.0,,2018-01-18 10:48:34,0.0
30,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Wind Onshore,9577.0,,2018-01-18 10:48:34,0.0
31,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Hydro Pumped Storage,1603.0,,2018-01-18 10:48:34,0.0
32,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Fossil Gas,3641.0,,2018-01-18 10:48:34,0.0
